Date,Open,High,Low,Close,Volume,Turnover,Index_Name
2017-01-02,5808.1,5892.2,5778.8,5884.7,155354004.0,10541099999.999998,NIFTY SMLCAP 100
2017-01-03,5912.05,5969.4,5893.65,5953.9,167324403.0,12435100000.0,NIFTY SMLCAP 100
2017-01-04,5973.35,6020.3,5973.35,6003.15,268761379.0,14704200000.0,NIFTY SMLCAP 100
2017-01-05,6046.05,6090.5,6045.2,6087.5,274919858.0,13773000000.0,NIFTY SMLCAP 100
2017-01-06,6113.25,6131.5,6051.25,6063.25,165828283.0,10415700000.0,NIFTY SMLCAP 100
2017-01-09,6075.8,6120.05,6056.85,6117.05,159507302.0,17831700000.0,NIFTY SMLCAP 100
2017-01-10,6149.9,6193.15,6148.45,6185.35,187281395.0,18252400000.0,NIFTY SMLCAP 100
2017-01-11,6205.95,6256.4,6204.45,6248.65,136760381.0,15703900000.000002,NIFTY SMLCAP 100
2017-01-12,6258.0,6266.9,6204.2,6223.3,117005592.0,11578300000.0,NIFTY SMLCAP 100
2017-01-13,6243.5,6256.35,6205.15,6248.95,123037048.0,12242900000.0,NIFTY SMLCAP 100
2017-01-16,6248.2,6294.3,6236.65,6280.05,111180546.0,11489300000.0,NIFTY SMLCAP 100
2017-01-17,6305.85,6327.4,6273.25,6303.05,110664799.0,11826800000.0,NIFTY SMLCAP 100
2017-01-18,6317.2,6350.25,6293.65,6307.75,135794956.0,12343699999.999998,NIFTY SMLCAP 100
2017-01-19,6311.85,6326.15,6300.0,6310.55,110411598.0,10113000000.0,NIFTY SMLCAP 100
2017-01-20,6308.95,6313.1,6189.6,6195.35,115162344.0,10767100000.0,NIFTY SMLCAP 100
2017-01-23,6198.25,6255.25,6192.75,6249.6,88330143.0,9758700000.0,NIFTY SMLCAP 100
2017-01-24,6271.05,6279.65,6255.35,6272.4,115229010.0,12454100000.0,NIFTY SMLCAP 100
2017-01-25,6304.75,6349.8,6304.75,6346.35,209362085.0,16494700000.0,NIFTY SMLCAP 100
2017-01-27,6361.4,6427.1,6361.4,6395.5,219339639.0,15343400000.0,NIFTY SMLCAP 100
2017-01-30,6393.25,6428.7,6384.2,6391.95,156091276.0,11182900000.0,NIFTY SMLCAP 100
2017-01-31,6400.55,6404.05,6296.7,6302.2,232872461.0,11860400000.0,NIFTY SMLCAP 100
2017-02-01,6317.7,6413.3,6299.1,6407.7,302928245.0,17091000000.0,NIFTY SMLCAP 100
2017-02-02,6414.6,6523.6,6403.6,6498.8,354205141.0,20427300000.0,NIFTY SMLCAP 100
2017-02-03,6523.4,6588.0,6522.25,6576.75,362645260.0,20369000000.0,NIFTY SMLCAP 100
2017-02-06,6619.6,6657.7,6608.7,6632.15,344579674.0,17583100000.0,NIFTY SMLCAP 100
2017-02-07,6647.25,6661.85,6587.35,6622.6,393664396.0,16848599999.999998,NIFTY SMLCAP 100
2017-02-08,6643.4,6660.25,6582.2,6648.65,294066775.0,13747300000.0,NIFTY SMLCAP 100
2017-02-09,6679.9,6706.85,6617.75,6653.15,223131051.0,15741900000.0,NIFTY SMLCAP 100
2017-02-10,6682.05,6692.8,6634.7,6641.15,183055807.0,12832800000.0,NIFTY SMLCAP 100
2017-02-13,6661.3,6668.0,6535.5,6564.0,196152011.0,12273300000.0,NIFTY SMLCAP 100
2017-02-14,6579.35,6582.6,6521.2,6533.15,217791295.0,11329300000.0,NIFTY SMLCAP 100
2017-02-15,6529.45,6530.1,6398.6,6415.05,210536038.0,16847500000.0,NIFTY SMLCAP 100
2017-02-16,6436.85,6520.2,6415.4,6514.1,235413958.0,12740400000.0,NIFTY SMLCAP 100
2017-02-17,6540.45,6566.2,6506.75,6560.15,264560362.0,14379500000.0,NIFTY SMLCAP 100
2017-02-20,6574.2,6636.1,6569.2,6629.15,281682924.0,14827000000.0,NIFTY SMLCAP 100
2017-02-21,6648.0,6681.0,6631.85,6668.55,205643101.0,19567600000.0,NIFTY SMLCAP 100
2017-02-22,6678.45,6690.15,6608.75,6616.9,234440088.0,16203500000.0,NIFTY SMLCAP 100
2017-02-23,6625.8,6637.3,6605.0,6614.5,246439377.0,15710400000.0,NIFTY SMLCAP 100
2017-02-27,6626.45,6673.6,6623.25,6662.05,297224363.0,19278000000.0,NIFTY SMLCAP 100
2017-02-28,6679.0,6719.8,6677.45,6708.2,276318965.0,16985900000.0,NIFTY SMLCAP 100
2017-03-01,6740.15,6764.15,6733.75,6742.95,300359213.0,18645200000.0,NIFTY SMLCAP 100
2017-03-02,6770.9,6775.7,6600.35,6614.2,225966750.0,15933800000.000002,NIFTY SMLCAP 100
2017-03-03,6597.85,6656.7,6588.4,6648.75,177198679.0,14040500000.0,NIFTY SMLCAP 100
2017-03-06,6670.9,6703.55,6658.0,6676.75,161359514.0,11475100000.0,NIFTY SMLCAP 100
2017-03-07,6692.6,6697.4,6650.4,6665.7,135748973.0,13649700000.0,NIFTY SMLCAP 100
2017-03-08,6677.3,6684.65,6592.2,6608.9,164030034.0,17482100000.0,NIFTY SMLCAP 100
2017-03-09,6600.7,6635.05,6590.75,6604.1,127353024.0,12348900000.000002,NIFTY SMLCAP 100
2017-03-10,6638.1,6663.4,6583.75,6597.25,132102004.0,11946500000.0,NIFTY SMLCAP 100
2017-03-14,6726.25,6749.6,6652.85,6668.95,216805986.0,14803100000.0,NIFTY SMLCAP 100
2017-03-15,6690.55,6743.6,6682.6,6727.0,223716676.0,16543100000.0,NIFTY SMLCAP 100
2017-03-16,6763.15,6810.65,6762.9,6801.75,157371872.0,15914800000.0,NIFTY SMLCAP 100
2017-03-17,6823.8,6845.6,6773.85,6804.65,193801940.0,18674300000.0,NIFTY SMLCAP 100
2017-03-20,6826.6,6847.9,6812.0,6832.0,165645595.0,18330700000.0,NIFTY SMLCAP 100
2017-03-21,6854.4,6860.65,6790.3,6820.0,158591272.0,14543000000.0,NIFTY SMLCAP 100
2017-03-22,6774.8,6815.5,6753.8,6774.25,162070556.0,17980900000.0,NIFTY SMLCAP 100
